location,route,direction,distance,level,year,month,week,day_night,hour,weather,age,gender,cause_L,cause_S,pattern,pave,dir_curv,slope,surface_condition,pavment_condition,car_type,car_standard,최초사고지점_도로시설,지점명,dead,injury,acc_cars,defeat,state,arrive_time,ambulance_arrive_time,people_rescue_time,towtruck_arrive_time,rescue_time,block_time,handling_time,damage,danger_point
시흥지사,서울외곽순환,일산,21.8,C,2005,10,금요일,주간,8,비,40,남자,운전자과실,핸들과대조작,차-시설,콘크리트,우커브 500 미만,평탄,습기,양호,화물(소형),1톤,본선,본선,0,0,1,1,2,0,0,0,0,0,0,95,695800,70
인천지사,서울외곽순환,일산,38,C,2005,10,일요일,주간,17,맑음,0,미상,기타,기타,추돌,아스팔트,좌커브 500 이상,내리막 3% 미만,건조,양호,기타,,본선,본선,0,0,2,3,2,2,0,0,0,0,12,25,652400,125
인천지사,서울외곽순환,일산,57.2,C,2005,11,화요일,주간,12,맑음,40,남자,운전자과실,기타,단독,아스팔트,좌커브 500 이상,내리막 3% 미만,건조,양호,화물(중형),5톤,램프,일산I/C램프,0,0,1,1,4,15,0,0,0,0,90,120,2563800,100
시흥지사,서울외곽순환,일산,18.2,C,2005,11,화요일,야간,2,흐림,40,남자,운전자과실,음주,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,본선,본선,0,0,1,1,2,10,0,0,0,0,20,20,1015610,70
인천지사,서울외곽순환,일산,44.7,C,2005,11,화요일,주간,14,맑음,40,남자,운전자과실,과속,단독,아스팔트,직선,평탄,건조,양호,화물(중형),25톤,본선,본선,0,0,1,2,2,5,0,0,0,0,50,55,706090,85
시흥지사,서울외곽순환,일산,21.4,C,2005,12,토요일,야간,5,맑음,0,남자,운전자과실,졸음,추돌,콘크리트,우커브 500 이상,평탄,건조,양호,승합(소형),7인승,본선,본선,0,1,3,5,2,15,0,0,0,0,20,60,0,210
동서울지사,서울외곽순환,일산,6.5,C,2005,12,토요일,야간,5,눈,30,남자,운전자과실,핸들과대조작,차-시설,콘크리트,직선,평탄,적설,양호,승용(자가),,TG,청계,0,0,1,2,2,10,0,0,0,0,0,10,1150000,85
시흥지사,서울외곽순환,일산,32.2,C,2005,12,목요일,야간,5,맑음,30,남자,운전자과실,음주,추돌,아스팔트,직선,평탄,건조,양호,승용(JEEP),,TG,시흥,0,0,2,3,2,1,0,0,0,0,55,75,1909700,125
시흥지사,서울외곽순환,일산,21,C,2005,12,목요일,주간,9,맑음,40,남자,운전자과실,과속,차-시설,콘크리트,우커브 500 미만,내리막 3% 미만,건조,양호,트레일러,15톤,램프,조남JC 목포방면램프,0,0,1,2,2,5,0,0,0,0,55,85,505400,85
인천지사,서울외곽순환,일산,46,B,2005,12,목요일,주간,5,맑음,40,남자,운전자과실,주시태만,추돌,아스팔트,직선,평탄,건조,양호,화물(대형),15톤,램프,계양I/C,0,2,2,2,4,10,0,0,0,0,250,250,1940480,200
